cluster,block_height,output_index,derived_p2pkh_address,amount_btc,script_type,source
E,17046,0,1DM8hLeXHKU6YTYir3WuNkQa5x8UJjugxU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17047,0,1Fs4BB78U9ocwe2TkXkg9pR6VGX67ag64J,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17050,0,1NLL9YVUzuiQKdgV7bw7cPMd8aweRcTajy,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17051,0,1BeYi8ufDyWAT54rzUdqZUFjaZ26XjypPp,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17053,0,1L2Ejcmu3DMvbdECu6z5wXPDn1eZptwqye,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17055,0,1H7x8UcCNtQrPXGLiZMFXJ6eWTFogYKE3X,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17056,0,12dfu37hqbqsksG6X93QPqt5g1H9gvJ9QG,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17057,0,1Jb4ZxhcVbu3wxbrrEHspnDtVMUcxu6mJr,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17058,0,1EzXn7bLufePVaoZNmatDsNgzcWXZ8hiNA,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17059,0,187a2oZuxjwhRARbcCrLaBbsUeQNW1ecdM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
